Ranking,Country,Gold,Silver,Bronze,Total
1,China,94,76,50,220
2,Great Britain,49,44,31,124
3,United States,36,42,27,105
4,Netherlands,27,17,12,56
5,Brazil,25,26,38,89
6,Italy,24,15,32,71
7,Ukraine,22,28,32,82
8,France,19,28,28,75
9,Australia,18,17,28,63
10,Japan,14,10,17,41
11,Germany,10,14,25,49
12,Canada,10,9,10,29
13,Uzbekistan,10,9,7,26
14,Iran,8,10,7,25
15,Switzerland,8,8,5,21
16,Poland,8,6,9,23
17,Spain,7,11,22,40
18,India,7,9,13,29
19,Colombia,7,7,14,28
20,Belgium,7,4,3,14
21,Thailand,6,11,13,30
22,South Korea,6,10,14,30
23,Turkey,6,10,12,28
24,Cuba,6,3,1,10
25,Algeria,6,0,5,11
26,Hungary,5,6,4,15
27,Tunisia,5,3,3,11
28,Azerbaijan,4,2,5,11
29,Israel,4,2,4,10
30,Mexico,3,6,8,17
31,Morocco,3,6,6,15
32,Hong Kong,3,4,1,8
33,Greece,3,3,7,13
34,Venezuela,3,2,1,6
35,Slovakia,3,2,0,5
36,Latvia,3,1,0,4
37,Argentina,2,3,8,13
38,Denmark,2,3,5,10
39,Kazakhstan,2,3,4,9
40,Nigeria,2,3,2,7
41,Egypt,2,2,3,7
42,Malaysia,2,2,1,5
43,Portugal,2,1,4,7
44,Ethiopia,2,1,0,3
44,Singapore,2,1,0,3
46,South Africa,2,0,4,6
47,Ecuador,2,0,2,4
48,Jordan,2,0,1,3
49,Costa Rica,2,0,0,2
50,Indonesia,1,8,5,14
51,Georgia,1,4,4,9
51,New Zealand,1,4,4,9
53,Czech Republic,1,4,3,8
54,Norway,1,3,3,7
55,Ireland,1,3,2,6
55,Serbia,1,3,2,6
57,Mongolia,1,3,0,4
58,Iraq,1,1,3,5
59,Croatia,1,1,2,4
60,Chile,1,0,5,6
61,Kuwait,1,0,1,2
61,Namibia,1,0,1,2
61,Romania,1,0,1,2
61,Slovenia,1,0,1,2
65,Bulgaria,1,0,0,1
65,Peru,1,0,0,1
65,Saudi Arabia,1,0,0,1
68,Chinese Taipei,0,3,2,5
69,Austria,0,3,1,4
70,Bosnia-Herzegovina,0,2,0,2
71,Finland,0,1,3,4
72,Sweden,0,1,2,3
73,Cyprus,0,1,1,2
73,Moldova,0,1,1,2
75,Kenya,0,1,0,1
75,Sri Lanka,0,1,0,1
75,Trinidad and Tobago,0,1,0,1
78,RPT,0,0,2,2
79,Lithuania,0,0,1,1
79,Luxembourg,0,0,1,1
79,Mauritius,0,0,1,1
79,Montenegro,0,0,1,1
79,Nepal,0,0,1,1
79,Pakistan,0,0,1,1
79,Vietnam,0,0,1,1
86,Afghanistan,0,0,0,0
86,Angola,0,0,0,0
86,Armenia,0,0,0,0
86,Aruba,0,0,0,0
86,Bahrain,0,0,0,0
86,Bangladesh,0,0,0,0
86,Barbados,0,0,0,0
86,Benin,0,0,0,0
86,Bermuda,0,0,0,0
86,Bhutan,0,0,0,0
86,Botswana,0,0,0,0
86,Burkina Faso,0,0,0,0
86,Burundi,0,0,0,0
86,Cape Verde,0,0,0,0
86,Cambodia,0,0,0,0
86,Cameroon,0,0,0,0
86,Central African Republic,0,0,0,0
86,Congo,0,0,0,0
86,Ivory Coast,0,0,0,0
86,Dominican Republic,0,0,0,0
86,DR Congo,0,0,0,0
86,El Salvador,0,0,0,0
86,Eritrea,0,0,0,0
86,Estonia,0,0,0,0
86,Fiji,0,0,0,0
86,Gabon,0,0,0,0
86,Gambia,0,0,0,0
86,Ghana,0,0,0,0
86,Grenada,0,0,0,0
86,Guatemala,0,0,0,0
86,Guinea,0,0,0,0
86,Guinea-Bissau,0,0,0,0
86,Haiti,0,0,0,0
86,Honduras,0,0,0,0
86,Iceland,0,0,0,0
86,Jamaica,0,0,0,0
86,Kiribati,0,0,0,0
86,Kosovo,0,0,0,0
86,Kyrgyzstan,0,0,0,0
86,Laos,0,0,0,0
86,Lebanon,0,0,0,0
86,Lesotho,0,0,0,0
86,Liberia,0,0,0,0
86,Libya,0,0,0,0
86,Macao,0,0,0,0
86,Malawi,0,0,0,0
86,Maldives,0,0,0,0
86,Mali,0,0,0,0
86,Malta,0,0,0,0
86,Mozambique,0,0,0,0
86,Myanmar,0,0,0,0
86,Nicaragua,0,0,0,0
86,Niger,0,0,0,0
86,North Macedonia,0,0,0,0
86,Oman,0,0,0,0
86,Palestine,0,0,0,0
86,Panama,0,0,0,0
86,Papua New Guinea,0,0,0,0
86,Paraguay,0,0,0,0
86,Philippines,0,0,0,0
86,Puerto Rico,0,0,0,0
86,Qatar,0,0,0,0
86,Rwanda,0,0,0,0
86,Sao Tome and Principe,0,0,0,0
86,Senegal,0,0,0,0
86,Sierra Leone,0,0,0,0
86,Solomon Islands,0,0,0,0
86,Somalia,0,0,0,0
86,St Vincent and the Grenadines,0,0,0,0
86,Suriname,0,0,0,0
86,Syria,0,0,0,0
86,Tanzania,0,0,0,0
86,East Timor,0,0,0,0
86,Togo,0,0,0,0
86,Tonga,0,0,0,0
86,Turkmenistan,0,0,0,0
86,United Arab Emirates,0,0,0,0
86,Uganda,0,0,0,0
86,Uruguay,0,0,0,0
86,Vanuatu,0,0,0,0
86,American Virgin Islands,0,0,0,0
86,Yemen,0,0,0,0
86,Zambia,0,0,0,0
86,Zimbabwe,0,0,0,0
